subject	trial	stimfile	condition	code	response	distractor	initTime	rt	DV_inmot	DV_dist	DV_velmax	DV_velmax_start	DV_acc_flips	DV_ADavg	DV_AUC	DV_initang	DV_dist_maxveloc	DV_ang_tot	DV_angflp_lat	DV_angflp_mot
2385	19	The dog was bitten by the snake.wav	2	passive	1	2	109.000000	2395.000000	2286.000000	1.270277	199.066493	96.000000	9.000000	0.289509	0.636242	5.331805	0.274944	5.000000	5.000000	0.000000
2385	25	The boy is pushed by his sister.wav	2	passive	1	2	89.000000	2570.000000	2481.000000	1.333393	219.099148	96.000000	4.000000	0.340738	0.624753	7.886770	0.237898	5.000000	3.000000	2.000000
2385	24	The seagull chases the tourist.wav	1	declarative	2	1	969.000000	4320.000000	3351.000000	1.672008	300.921135	96.000000	23.000000	0.479757	0.559612	24.227745	0.167402	14.000000	14.000000	0.000000
2385	74	The tiger lifts the bear.wav	1	declarative	1	2	1389.000000	2579.000000	1190.000000	1.525436	294.784551	96.000000	2.000000	0.312826	0.597538	-17.830132	0.051514	3.000000	3.000000	0.000000
2385	78	The skier was crushed by the snowboard.wav	2	passive	1	2	89.000000	6003.000000	5914.000000	1.717881	291.653684	93.000000	9.000000	0.312867	0.615136	1.305740	0.229112	7.000000	5.000000	2.000000
2385	82	The robber shoots the policeman.wav	1	declarative	2	1	464.000000	2447.000000	1983.000000	1.627087	306.353198	96.000000	14.000000	0.310984	0.568094	23.374034	0.095321	3.000000	1.000000	1.000000
2385	33	The cloud hides the sun.wav	1	declarative	1	2	119.000000	3786.000000	3667.000000	1.454675	146.897964	13.000000	12.000000	0.097723	0.597876	-6.369252	0.040755	5.000000	1.000000	4.000000
2385	23	The husband was fed by his wife.wav	2	passive	1	2	79.000000	3041.000000	2962.000000	1.719608	275.430781	96.000000	4.000000	0.335229	0.714133	3.904258	0.342454	4.000000	2.000000	2.000000
2385	28	The turtle was carried by the sheep.wav	2	passive	1	2	258.000000	3988.000000	3730.000000	1.803655	214.933189	52.000000	19.000000	0.199264	0.684528	23.539016	0.209402	16.000000	11.000000	5.000000
2385	67	The chef was suprised by the mailman.wav	2	passive	1	2	134.000000	2970.000000	2836.000000	1.836729	274.447293	92.000000	11.000000	0.351197	0.784589	17.510341	0.292978	9.000000	7.000000	2.000000
2385	45	The daughter kisses the king.wav	1	declarative	1	2	239.000000	3387.000000	3148.000000	1.560457	162.448893	87.000000	7.000000	0.305770	0.587825	6.241480	0.419866	8.000000	4.000000	4.000000
2385	47	The zebra kicks the horse.wav	1	declarative	1	2	519.000000	3730.000000	3211.000000	1.525375	174.744253	96.000000	4.000000	0.354398	0.611049	-16.089502	0.651654	2.000000	1.000000	0.000000
2385	77	The baby touches the hamster.wav	1	declarative	1	2	48.000000	2651.000000	2603.000000	1.569974	217.372525	96.000000	13.000000	0.305302	0.697062	6.398957	0.483111	6.000000	2.000000	4.000000
2385	15	The boxer is punched by the kangeroo.wav	2	passive	2	1	49.000000	12939.000000	12890.000000	4.050457	297.519172	96.000000	18.000000	0.279352	0.498724	19.559926	2.562861	22.000000	3.000000	18.000000
2385	70	The nurse hugs the surgeon.wav	1	declarative	2	1	199.000000	2432.000000	2233.000000	1.497125	233.201444	96.000000	19.000000	0.397843	0.573603	2.992595	0.331118	10.000000	6.000000	3.000000
2385	63	The cat attacks the fireman.wav	1	declarative	1	2	134.000000	2254.000000	2120.000000	1.667643	237.617778	96.000000	12.000000	0.451559	0.560256	13.619771	0.479554	8.000000	3.000000	5.000000
2385	79	The kid tickles the mom.wav	1	declarative	1	2	47.000000	6164.000000	6117.000000	1.804264	294.484235	96.000000	5.000000	0.465294	0.506282	1.513692	0.331842	1.000000	0.000000	1.000000
2385	17	The elephant was washed by the worker.wav	2	passive	2	1	49.000000	2770.000000	2721.000000	5.320443	398.948889	20.000000	15.000000	0.134467	0.839651	-38.757152	0.245548	11.000000	2.000000	9.000000
2385	57	The aunt is assisted by her niece.wav	2	passive	2	1	31.000000	8043.000000	8012.000000	2.230418	244.609296	3.000000	4.000000	0.504828	1.039260	3.946516	0.067684	8.000000	1.000000	7.000000
2385	53	The pig was followed by the hen.wav	2	passive	2	1	47.000000	3596.000000	3549.000000	2.574314	216.821347	18.000000	8.000000	0.422558	1.113172	-30.876059	0.046404	10.000000	3.000000	7.000000
2385	43	The bird watches the alligator.wav	1	declarative	1	2	334.000000	6613.000000	6279.000000	3.129241	213.556779	93.000000	22.000000	0.396094	0.732348	1.902756	1.838316	8.000000	0.000000	7.000000
2452	34	The boy is pushed by his sister.wav	2	passive	1	2	80.000000	5960.000000	5880.000000	3.369847	205.244964	86.000000	19.000000	0.214365	0.167490	-1.917903	1.022631	11.000000	1.000000	9.000000
2452	18	The cat attacks the fireman.wav	1	declarative	1	2	240.000000	450.000000	210.000000	1.467856	64.387935	85.000000	9.000000	0.231954	0.447557	-37.411381	0.720408	4.000000	4.000000	0.000000
2452	25	The baby touches the hamster.wav	1	declarative	1	2	30.000000	120.000000	90.000000	1.460740	33.660819	69.000000	14.000000	0.109938	0.537729	-23.541749	0.805101	6.000000	1.000000	5.000000
2452	43	The princess slaps the prince.wav	1	declarative	2	1	180.000000	2640.000000	2460.000000	1.626457	135.741492	92.000000	6.000000	0.372703	0.554687	-7.290523	0.520655	3.000000	2.000000	1.000000
2452	50	The cloud hides the sun.wav	1	declarative	1	2	441.000000	2521.000000	2080.000000	1.565138	230.393165	93.000000	2.000000	0.325543	0.641572	3.302303	0.333901	4.000000	1.000000	3.000000
2452	23	The aunt is assisted by her niece.wav	2	passive	2	1	290.000000	470.000000	180.000000	1.158323	67.385381	94.000000	8.000000	0.219135	0.517888	24.707784	0.725126	2.000000	1.000000	1.000000
